province,sights_count
广东,600
云南,523
内蒙古,300
湖北,270
新疆,509
海南,348
西藏,77
陕西,240
香港,30
天津,30
广西,450
河南,600
贵州,540
江苏,570
宁夏,60
青海,120
福建,562
黑龙江,270
辽宁,270
重庆,30
安徽,485
山东,510
澳门,30
湖南,416
台湾,210
上海,30
山西,330
甘肃,295
河北,540
北京,30
浙江,600
江西,524
四川,510
吉林,308
